question,category,mean_freq,min_freq
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
Will wearing an ankle brace help heal achilles tendonitis?,harmful,9.480885714285714e-05,1.32e-07
