question,harmful,helpful,controversy_score
Can I remove a tick by covering it with Vaseline?,21,167,3
Can applying vitamin E cream remove skin scars?,26,315,3
Can aromatherapy massage help manage rheumatoid arthritis?,0,100,3
Can copper bracelets reduce the pain of arthritis?,74,53,3
Can dupixent treat eczema?,5,176,2
Can eating dates help manage iron deficiency anemia?,3,187,2
Can evening primrose oil help treat eczema?,116,22,3
Can fermented milk help mitigate high blood pressure?,8,156,3
Can folic acid help improve cognition and treat dementia?,139,52,3
Can fungal creams treat athlete's foot?,1,251,1
Can l-theanine supplements reduce stress and anxiety?,3,256,2
Can magnesium help prevent migraine?,1,257,3
Can minoxidil treat hair loss?,20,282,2
Can music therapy help manage depression?,1,201,2
Can omega-3 treat borderline personality disorder in women?,0,24,4
Can the drug Imitrex (sumatriptan) treat acute migraine attacks?,3,204,1
Can vitamin D supplements improve the management of asthma?,1,155,3
Can vitamin b12 and sun exposure together help treat vitiligo?,1,65,3
Does Aleve relieve migraine headaches?,28,152,2
Does Tylenol manage the symptoms of osteoarthritis? ,31,183,2
Does duct tape work for wart removal?,151,35,3
Does exercise improve the symptoms of depression? ,0,315,2
Does inhaling steam help treat common cold?,117,23,3
Does selenium help prevent cancer?,53,183,3
Does steam from a shower help croup?,160,55,3
Does yoga improve the management of asthma?,12,145,3
Is a tepid sponge bath a good way to reduce fever in children?,150,73,3
Is starving a fever effective?,17,97,3
Should I apply ice to a burn?,57,191,2
Will at-home exercises manage hip osteoarthritis pain?,2,191,3
Will buying a light therapy lamp help treat depression? ,3,120,3
Will drinking vinegar dissolve a stuck fish bone?,14,30,3
Will taking birth control pills treat an ovarian cyst?,109,47,3
Will taking zinc supplements improve pregnancy? ,106,53,3
Will wearing an ankle brace help heal achilles tendonitis?,163,57,3
