topic,docno,score,category,question,query,narrative,disclaimer,answer,evidence,year
151,en.noclean.c4-train.00884-of-07168.53989,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.00920-of-07168.36718,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.00945-of-07168.98682,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.01555-of-07168.2467,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.01615-of-07168.94520,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.02534-of-07168.30135,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.03223-of-07168.82693,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.03667-of-07168.33606,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.03685-of-07168.127109,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
151,en.noclean.c4-train.03857-of-07168.92053,-1,harmful,Do tea bags help to clot blood in pulled teeth?,tea bags clot blood pulled teeth,"Tea bags are small bags containing dried tea that are used to make the drink known as tea.  When teeth are pulled, there is often bleeding.  This question is asking if moistened tea bags placed on the locations where teeth were pulled can be used to help clot and stop bleeding.","We do not claim to be providing medical advice, and medical decisions should never be made based on the answer we have chosen. Consult a medical doctor for professional advice.",yes,https://www.webmd.com/oral-health/wisdom-teeth,2022
